,DATE,REVIEW,star
90,2021-3-3,Pvp 없는 서버 없습니까 상대가 되야 재미있죠 이것은 그냥 다이아 내놓으라고 하는 것 같네요 유저가 리니지이용고객을 차단하는데......,1
91,2021-3-10,그냥 20년전부터 하던게임이라 익숙해서 하긴하는데 업뎃되는거나 밸붕되는거 보면 언제 접나하고 있다.법사 클첸보고나니 곧 접어야지 생각밖에 안드네ㅋㅋ,1
92,2021-3-10,막피가 넘쳐남 오로지 현질을 해야지 게임을 할수있음 현질이 없으면 안됨 무료로 주는 사료 다쓰면 접었다 사료주면 또 하는 게임 과금을 많이할수록 엔씨에서는 대우해주는 게임,1
93,2021-1-29,게임이용약관 동의 확인누르는게 없는데 어찌 게임을 하라는건지... 푸시메일 알람 선택만 돼고 동의확인 안뜸 빠른조치바래요 ㅡㅡ,1
94,2021-3-15,대기업이란 회사가 예고 없이 점검을 수시로 하고 요새 공기업은 그러면 시말서감인데 그리고 좌천되야지 언제까지 그럴래? 돈만 밝히는nc,1
95,2021-3-15,막피는 계속 죽이고 일반유저는 계속 죽고 조치도없고 살인자게임인가요?,1
96,2021-2-4,"현질유도가 너무 심각함 나온지 3년.. 여전히 버그가 있음 개발자가 답변을 했다그래서 와봤는데 암것도 없넹ㅡ.,ㅡ",1
97,2021-2-4,누굴위한 게임인가요?ㅋ 과금러들위한게임 이거 머 도박수준아닌가요? 억대 과금ㅋㅋ 별한개도 아깝네요 글올려니 어쩔수없이 별한개를 넣어야하니,1
98,2021-1-27,다운 받고 설치후 처음 화면에서 게임약관에서 넘어가지않고 튕겨버립니다,1
99,2021-1-28,게임 이용약관 나오고 이후에 안넘어가요 게임플레이 불가합니다,1
100,2021-1-24,캐릭터 생성제한이 언제풀리나요 캐릭터 생성이 안되서 못하고있어요 ㅠㅠ 인생같아서 재밌네요,5
101,2021-1-24,현재 갤럭시플립에서 다운로드하고 들어가면 동의하고 체크하기하고 창을 닫으면 게임이 나가집니다 해결바랍니다,1
